RegionID,SizeRank,RegionName,RegionType,StateName,zhvi_mid_all,snapshot_date_zhvi_mid_all,zhvi_mid_all_raw,snapshot_date_zhvi_mid_all_raw,zhvi_mid_sfr,snapshot_date_zhvi_mid_sfr,zhvi_mid_condo,snapshot_date_zhvi_mid_condo,zhvi_bottom_all,snapshot_date_zhvi_bottom_all,zhvi_top_all,snapshot_date_zhvi_top_all,zhvi_mid_1br,snapshot_date_zhvi_mid_1br,zhvi_mid_2br,snapshot_date_zhvi_mid_2br,zhvi_mid_3br,snapshot_date_zhvi_mid_3br,zhvi_mid_4br,snapshot_date_zhvi_mid_4br,zhvi_mid_5br,snapshot_date_zhvi_mid_5br,zori_rent_index,snapshot_date_zori_rent_index,inventory_for_sale,snapshot_date_inventory_for_sale,new_listings,snapshot_date_new_listings,new_pending,snapshot_date_new_pending,sales_count,snapshot_date_sales_count,new_construction_sales_count,snapshot_date_new_construction_sales_count,median_sale_price_now,snapshot_date_median_sale_price_now,median_sale_to_list,snapshot_date_median_sale_to_list,pct_sold_above_list,snapshot_date_pct_sold_above_list,pct_listings_price_cut,snapshot_date_pct_listings_price_cut,median_days_to_close,snapshot_date_median_days_to_close,market_temp_index,snapshot_date_market_temp_index,income_needed_to_buy_20pct_mid,snapshot_date_income_needed_to_buy_20pct_mid,income_needed_to_rent_mid,snapshot_date_income_needed_to_rent_mid,zhvf_base_date,zhvf_growth_1m,zhvf_growth_3m,zhvf_growth_12m
753909,854,"Ottawa, KS",msa,KS,245681.4538753444,2025-10-31,248602.9833441752,2025-10-31,245628.87343407507,2025-10-31,,,144120.24447501442,2025-10-31,428424.18485278456,2025-10-31,116250.7440254346,2025-10-31,163971.23513166394,2025-10-31,259866.22235723888,2025-10-31,318799.43224202725,2025-10-31,390344.5676001615,2025-10-31,,,103.0,2025-10-31,39.0,2025-10-31,30.0,2025-10-31,,,,,,,,,,,0.0332710592739424,2025-10-31,,,39.0,2025-10-31,,,,,2025-10-31,0.6,1.1,3.8
394912,855,"New Ulm, MN",msa,MN,237233.31950304107,2025-10-31,240580.1018354659,2025-10-31,237333.03345985792,2025-10-31,,,144848.50565246172,2025-10-31,413965.4908042615,2025-10-31,131333.18049482044,2025-10-31,190055.91781378177,2025-10-31,219197.47040505812,2025-10-31,266713.7895877885,2025-10-31,343067.9659266893,2025-10-31,,,55.0,2025-10-31,21.0,2025-10-31,14.0,2025-10-31,,,,,,,,,,,,,,,57.0,2025-10-31,,,,,2025-10-31,0.8,1.6,3.3
394791,856,"Lexington, NE",msa,NE,209981.64217836648,2025-10-31,209802.57542465357,2025-10-31,209834.1614392232,2025-10-31,,,123660.73984986158,2025-10-31,421249.788990008,2025-10-31,139243.60504634932,2025-10-31,151245.72616388524,2025-10-31,217611.58368945343,2025-10-31,256940.07312318883,2025-10-31,325236.0256570787,2025-10-31,1287.0,2025-10-31,84.0,2025-10-31,20.0,2025-10-31,16.0,2025-10-31,,,,,,,,,,,,,,,18.0,2025-10-31,,,,,2025-10-31,-0.2,-0.3,0.8
394643,857,"Great Bend, KS",msa,KS,115912.76221735818,2025-10-31,117869.1080110508,2025-10-31,115993.54861084923,2025-10-31,,,50469.119878049845,2025-10-31,231673.8702256148,2025-10-31,32945.73606672451,2025-10-31,72800.08331177504,2025-10-31,143602.8939546403,2025-10-31,199037.44032246375,2025-10-31,234108.5348649591,2025-10-31,782.2222222222222,2025-10-31,111.0,2025-10-31,25.0,2025-10-31,19.0,2025-10-31,,,,,,,,,,,0.0459533193817134,2025-10-31,,,26.0,2025-10-31,,,,,2025-10-31,1.1,1.6,3.6
395110,858,"Spearfish, SD",msa,SD,445886.0552182172,2025-10-31,446722.45615208335,2025-10-31,447607.0209187893,2025-10-31,,,271995.5244450112,2025-10-31,760163.5408324716,2025-10-31,,,306806.85040667973,2025-10-31,438700.0620035664,2025-10-31,545229.3256170062,2025-10-31,729650.8916440584,2025-10-31,1726.3888888888887,2025-10-31,241.0,2025-10-31,43.0,2025-10-31,33.0,2025-10-31,,,,,,,0.9675980040575736,2025-09-30,0.053806977336389,2025-09-30,0.0324429114474663,2025-10-31,34.0,2025-09-30,25.0,2025-10-31,,,,,2025-10-31,0.0,0.3,2.2
395214,859,"Wauchula, FL",msa,FL,239261.34583560724,2025-10-31,241133.1631724789,2025-10-31,239070.80756964383,2025-10-31,,,134615.10731053966,2025-10-31,430893.7823760408,2025-10-31,,,160061.14001087943,2025-10-31,242895.35435169315,2025-10-31,324400.0895948979,2025-10-31,443701.3984895959,2025-10-31,,,74.0,2025-10-31,14.0,2025-10-31,11.0,2025-10-31,,,,,,,,,,,,,,,42.0,2025-10-31,,,,,2025-10-31,0.5,1.2,5.1
394830,860,"Marshall, MN",msa,MN,211089.7443952314,2025-10-31,214291.2264956147,2025-10-31,210730.6896715576,2025-10-31,,,110437.42078259436,2025-10-31,344311.87839199207,2025-10-31,,,121401.8096881945,2025-10-31,183388.1818590712,2025-10-31,240249.74731702567,2025-10-31,319918.7786585901,2025-10-31,,,60.0,2025-10-31,20.0,2025-10-31,17.0,2025-10-31,,,,,,,,,,,,,,,63.0,2025-10-31,,,,,2025-10-31,0.7,1.4,1.2
394529,861,"Deming, NM",msa,NM,150797.46015594914,2025-10-31,152545.51775158523,2025-10-31,150757.4524605048,2025-10-31,,,93105.36386010858,2025-10-31,232801.76745804047,2025-10-31,,,181274.24077819832,2025-10-31,210287.66723013573,2025-10-31,,,,,,,82.0,2025-10-31,17.0,2025-10-31,11.0,2025-10-31,,,,,,,,,,,,,,,48.0,2025-10-31,,,,,2025-10-31,0.5,0.4,-1.5
394854,862,"Mexico, MO",msa,MO,175246.73284864193,2025-10-31,177904.400716497,2025-10-31,175376.7401045802,2025-10-31,,,96681.36855291996,2025-10-31,353238.498683925,2025-10-31,,,112801.65356451012,2025-10-31,190821.70512600616,2025-10-31,235743.1997742121,2025-10-31,,,,,97.0,2025-10-31,30.0,2025-10-31,13.0,2025-10-31,,,,,,,,,,,0.0392195427235643,2025-10-31,,,35.0,2025-10-31,,,,,2025-10-31,1.0,1.8,3.9
394584,863,"Fallon, NV",msa,NV,380202.79672757833,2025-10-31,382025.4870959552,2025-10-31,380708.5171365621,2025-10-31,,,274947.5809449128,2025-10-31,506806.29020564567,2025-10-31,,,253849.33308626697,2025-10-31,379481.9539466804,2025-10-31,449253.6343241039,2025-10-31,556325.7925062905,2025-10-31,1503.6666666666667,2025-10-31,95.0,2025-10-31,24.0,2025-10-31,24.0,2025-10-31,,,,,,,,,,,,,,,33.0,2025-10-31,,,,,2025-10-31,0.1,0.2,1.5
